,fdc_id,data_type,description,food_category_id,protein_value,fat_value,carbohydrate_value
240,167973,sr_legacy_food,"Candies, carob, unsweetened",,4.0,9.0,4.0
241,167974,sr_legacy_food,"Candies, caramels",,4.3,8.6,3.8
242,167976,sr_legacy_food,"Candies, semisweet chocolate",,1.83,8.5,3.4
243,167977,sr_legacy_food,"Candies, sweet chocolate",,1.83,8.6,3.4
244,167978,sr_legacy_food,"Candies, sweet chocolate coated fondant",,3.1,8.4,3.5
245,167980,sr_legacy_food,"Candies, confectioner's coating, butterscotch",,4.0,9.0,4.0
246,167981,sr_legacy_food,"Ice creams, french vanilla, soft-serve",,4.0,9.0,4.0
247,167982,sr_legacy_food,"Candies, YORK Peppermint Pattie",,3.47,8.37,4.07
248,167985,sr_legacy_food,"Candies, 5TH AVENUE Candy Bar",,4.27,8.79,3.87
249,167989,sr_legacy_food,"Candies, gumdrops, starch jelly pieces",,4.0,9.0,4.0
250,167990,sr_legacy_food,"Candies, hard",,4.0,9.0,4.0
251,167991,sr_legacy_food,"Candies, jellybeans",,4.0,9.0,4.0
252,167992,sr_legacy_food,"Candies, KIT KAT Wafer Bar",,4.0,9.0,4.0
253,167994,sr_legacy_food,"Candies, MARS SNACKFOOD US, MARS Almond Bar",,3.7,8.6,3.8
254,167995,sr_legacy_food,"Candies, marshmallows",,3.9,8.4,3.8
255,167996,sr_legacy_food,"Candies, halavah, plain",,4.0,8.5,3.9
256,167999,sr_legacy_food,"Baking chocolate, mexican, squares",,2.0,8.4,3.7
257,168001,sr_legacy_food,"Candies, milk chocolate coated peanuts",,3.6,8.6,3.7
258,168014,sr_legacy_food,"Cookies, animal crackers (includes arrowroot, tea biscuits)",,4.1,8.8,4.0
259,168072,sr_legacy_food,"Restaurant, Chinese, beef and vegetables",,4.0,9.0,4.0
260,168080,sr_legacy_food,"Restaurant, Chinese, shrimp and vegetables",,4.0,9.0,4.0
